,date,Country, Births per 1000 People, Population,Total Number of Births, Deaths per 1000 People,Total Number of Deaths,Marriages,Divorces
27,12/31/77,United States,14.931,223135663,3331638.5842529996,8.959,1999072.4048169998,2180861.0,1101445.0
28,12/31/78,United States,14.755999999999998,225223303,3323395.059068,8.849,1993001.008247,2293079.0,1135408.0
29,12/31/79,United States,14.870999999999999,227339318,3380762.9979779995,8.845,2010816.26771,2341102.0,1193062.0
30,12/31/80,United States,14.985999999999999,229476354,3438932.6410439997,8.841000000000001,2028800.4457140001,2413896.0,1184175.0
31,12/31/81,United States,15.102,231636058,3498167.747916,8.837,2046967.844546,2438085.0,1219042.0
32,12/31/82,United States,15.217,233821844,3558067.000148,8.833,2065348.3480520002,2495000.0,1170000.0
33,12/31/83,United States,15.332,236030238,3618815.6090160003,8.829,2083910.971302,2444000.0,1179000.0
34,12/31/84,United States,15.395999999999999,238256844,3668202.370224,8.854,2109526.0967759998,2482137.0,1181970.0
35,12/31/85,United States,15.460999999999999,240499825,3718367.7943249997,8.878,2135157.4463500003,2408911.0,1192530.0
36,12/31/86,United States,15.525,242763148,3768897.8727,8.902999999999999,2161320.3066439996,2406830.0,1179347.0
37,12/31/87,United States,15.59,245052789,3820372.9805099997,8.927,2187586.247403,2404146.0,1165646.0
38,12/31/88,United States,15.654000000000002,247372264,3872365.4206560007,8.952,2214476.507328,2377092.0,1151787.0
39,12/31/89,United States,15.613,249725805,3898968.993465,8.925,2228802.809625,2399654.0,1162719.0
40,12/31/90,United States,15.573,252120309,3926269.5720570004,8.898,2243366.509482,2451774.0,1175851.0
41,12/31/91,United States,15.532,254539370,3953505.4948400003,8.871,2258018.75127,2383182.0,1191591.0
42,12/31/92,United States,15.492,256990613,3981298.576596,8.844,2272824.9813719997,2389375.0,1233226.0
43,12/31/93,United States,15.450999999999999,259532129,4010030.925179,8.817,2288294.781393,2342538.0,1197297.0
44,12/31/94,United States,15.217,262241196,3990524.279532,8.785,2303788.90686,2397441.0,1211893.0
45,12/31/95,United States,14.982999999999999,265163745,3972948.3913349994,8.754,2321243.42373,,
46,12/31/96,United States,14.75,268335003,3957941.29425,8.722000000000001,2340417.8961660005,,
47,12/31/97,United States,14.515999999999998,271713635,3944195.1256599994,8.691,2361463.2017850005,2384000.0,1163000.0
48,12/31/98,United States,14.282,275175301,3930053.648882,8.658999999999999,2382742.9313589996,2244000.0,1135000.0
49,12/31/99,United States,14.232000000000001,278548150,3964297.2708,8.631,2404149.08265,2358000.0,1145245.0
50,12/31/00,United States,14.182,281710909,3995224.111438,8.603,2423558.950127,2315000.0,944000.0
51,12/31/01,United States,14.133,284607993,4022364.765069,8.576,2440798.147968,2326000.0,940000.0
52,12/31/02,United States,14.083,287279318,4045754.635394,8.548,2455663.610264,2290000.0,955000.0
53,12/31/03,United States,14.033,289815562,4066981.781546,8.52,2469228.58824,2245000.0,927000.0
54,12/31/04,United States,13.989,292354658,4089749.3107620003,8.441,2467765.6681780005,2279000.0,879000.0
55,12/31/05,United States,13.945,294993511,4113684.510895,8.362,2466735.738982,2249000.0,847000.0
56,12/31/06,United States,13.9,297758969,4138849.6691,8.282,2466039.781258,2193000.0,872000.0
57,12/31/07,United States,13.856,300608429,4165230.392224,8.203,2465890.943087,2197000.0,856000.0
58,12/31/08,United States,13.812000000000001,303486012,4191748.7977440003,8.124,2465520.3614880005,2157000.0,844000.0
59,12/31/09,United States,13.558,306307567,4152917.993386,8.131,2490586.827277,2080000.0,840000.0
60,12/31/10,United States,13.305,309011475,4111397.674875,8.138,2514735.3835500004,2096000.0,872000.0
61,12/31/11,United States,13.050999999999998,311584047,4066483.3973969994,8.145,2537852.062815,2118000.0,877000.0
62,12/31/12,United States,12.798,314043885,4019133.64023,8.152000000000001,2560085.7505200002,2131000.0,851000.0
63,12/31/13,United States,12.544,316400538,3968928.3486719998,8.158999999999999,2581511.989542,2081301.0,832157.0
64,12/31/14,United States,12.429,318673411,3960791.825319,8.264,2633517.0685039996,2140272.0,813862.0
65,12/31/15,United States,12.314,320878310,3951295.5093400003,8.369,2685430.57639,2221579.0,800909.0
66,12/31/16,United States,12.198,323015995,3940149.1070100004,8.475,2737560.557625,2251411.0,776288.0
67,12/31/17,United States,12.083,325084756,3927999.1067480003,8.58,2789227.20648,2236496.0,787251.0
68,12/31/18,United States,11.968,327096265,3914688.09952,8.685,2840831.0615250003,2132853.0,782038.0
69,12/31/19,United States,11.979000000000001,329064917,3941868.6407430004,8.782,2889848.101094,2056675.0,780035.0
